approach	metaheuristica	instancia	n_tareas	bks_referencia	bks_origen	gap_bks_porcentaje	repeticion	semilla	mejor_costo	costo_solucion_inicial	mejora_absoluta	mejora_porcentaje	tiempo_segundos	iteraciones_totales	mejoras	mejor_solucion_factible_final	n_resets_kick	costo_total_desde_reporte	parametros	conteo_operadores
solo_p_inter	recocido_simulado	gdb1	22	316.0	BKS	2.2151898734177213	1		323.0	360.0			6.246222134999698	16456	6	True	0	323.0	L_cadena_markov=484; aceptadas=3878; alpha=0.9; alpha_inter=0.8; d_max=30.0; enfriamientos_ejecutados=34; max_reheats_sin_mejora=10; n_reheats=1; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=0; temperatura_inicial_efectiva=27.272727272727273; temperatura_minima_efectiva=1.2396694214876034	relocate_intra:P2297/A693/M0 | swap_intra:P2987/A990/M2 | 2opt_intra:P3038/A1185/M1 | relocate_inter:P1150/A134/M2 | swap_inter:P1361/A332/M0 | 2opt_star:P1357/A249/M1 | cross_exchange:P1446/A249/M0 | or_opt_2:P1393/A34/M0 | or_opt_3:P1427/A12/M0
solo_p_inter	recocido_simulado	gdb1	22	316.0	BKS	1.5822784810126582	2		321.0	360.0			6.496347927008173	20812	7	True	0	321.0	L_cadena_markov=484; aceptadas=4745; alpha=0.9; alpha_inter=0.8; d_max=30.0; enfriamientos_ejecutados=43; max_reheats_sin_mejora=10; n_reheats=2; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=1; temperatura_inicial_efectiva=27.272727272727273; temperatura_minima_efectiva=1.2396694214876034	relocate_intra:P2839/A770/M1 | swap_intra:P3797/A1251/M2 | 2opt_intra:P3865/A1412/M1 | relocate_inter:P1400/A188/M1 | swap_inter:P1762/A431/M0 | 2opt_star:P1729/A338/M2 | cross_exchange:P1795/A289/M0 | or_opt_2:P1886/A58/M0 | or_opt_3:P1739/A8/M0
solo_p_inter	recocido_simulado	gdb1	22	316.0	BKS	2.2151898734177213	3		323.0	360.0			5.821696341998177	15972	7	True	0	323.0	L_cadena_markov=484; aceptadas=3722; alpha=0.9; alpha_inter=0.8; d_max=30.0; enfriamientos_ejecutados=33; max_reheats_sin_mejora=10; n_reheats=1; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=0; temperatura_inicial_efectiva=27.272727272727273; temperatura_minima_efectiva=1.2396694214876034	relocate_intra:P2243/A660/M4 | swap_intra:P2818/A933/M1 | 2opt_intra:P2914/A1014/M1 | relocate_inter:P1133/A132/M0 | swap_inter:P1375/A382/M0 | 2opt_star:P1355/A272/M1 | cross_exchange:P1385/A272/M0 | or_opt_2:P1370/A48/M0 | or_opt_3:P1379/A9/M0
solo_p_inter	recocido_simulado	gdb1	22	316.0	BKS	2.2151898734177213	4		323.0	360.0			5.542057700004079	15972	7	True	0	323.0	L_cadena_markov=484; aceptadas=3497; alpha=0.9; alpha_inter=0.8; d_max=30.0; enfriamientos_ejecutados=33; max_reheats_sin_mejora=10; n_reheats=1; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=0; temperatura_inicial_efectiva=27.272727272727273; temperatura_minima_efectiva=1.2396694214876034	relocate_intra:P2256/A611/M1 | swap_intra:P2838/A884/M0 | 2opt_intra:P2870/A994/M2 | relocate_inter:P1081/A136/M1 | swap_inter:P1378/A321/M1 | 2opt_star:P1420/A265/M1 | cross_exchange:P1384/A236/M1 | or_opt_2:P1355/A44/M0 | or_opt_3:P1390/A6/M0
solo_p_inter	recocido_simulado	gdb1	22	316.0	BKS	2.2151898734177213	5		323.0	360.0			6.395485934001044	15972	7	True	0	323.0	L_cadena_markov=484; aceptadas=3645; alpha=0.9; alpha_inter=0.8; d_max=30.0; enfriamientos_ejecutados=33; max_reheats_sin_mejora=10; n_reheats=1; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=0; temperatura_inicial_efectiva=27.272727272727273; temperatura_minima_efectiva=1.2396694214876034	relocate_intra:P2209/A642/M1 | swap_intra:P2959/A981/M2 | 2opt_intra:P2915/A1018/M2 | relocate_inter:P1050/A117/M0 | swap_inter:P1327/A331/M0 | 2opt_star:P1432/A262/M2 | cross_exchange:P1331/A231/M0 | or_opt_2:P1400/A49/M0 | or_opt_3:P1349/A14/M0
solo_p_inter	recocido_simulado	gdb10	25	275.0	BKS	3.6363636363636362	1		285.0	320.0			11.402610393997747	40625	8	True	0	285.0	L_cadena_markov=625; aceptadas=7803; alpha=0.9; alpha_inter=0.8; d_max=28.0; enfriamientos_ejecutados=65; max_reheats_sin_mejora=10; n_reheats=4; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=1; temperatura_inicial_efectiva=22.4; temperatura_minima_efectiva=0.896	relocate_intra:P5980/A1577/M1 | swap_intra:P7174/A2084/M2 | 2opt_intra:P7226/A2642/M1 | relocate_inter:P2689/A207/M0 | swap_inter:P3433/A589/M3 | 2opt_star:P3415/A361/M0 | cross_exchange:P3619/A291/M1 | or_opt_2:P3508/A50/M0 | or_opt_3:P3581/A2/M0
solo_p_inter	recocido_simulado	gdb10	25	275.0	BKS	8.0	2		297.0	320.0			11.717969571007416	33750	4	True	0	297.0	L_cadena_markov=625; aceptadas=6514; alpha=0.9; alpha_inter=0.8; d_max=28.0; enfriamientos_ejecutados=54; max_reheats_sin_mejora=10; n_reheats=3; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=2; temperatura_inicial_efectiva=22.4; temperatura_minima_efectiva=0.896	relocate_intra:P4968/A1273/M2 | swap_intra:P5898/A1813/M0 | 2opt_intra:P6040/A2188/M1 | relocate_inter:P2181/A180/M0 | swap_inter:P2961/A481/M1 | 2opt_star:P2910/A302/M0 | cross_exchange:P2948/A236/M0 | or_opt_2:P2915/A40/M0 | or_opt_3:P2929/A1/M0
solo_p_inter	recocido_simulado	gdb10	25	275.0	BKS	5.090909090909091	3		289.0	320.0			29.8484848930093	83125	6	True	0	289.0	L_cadena_markov=625; aceptadas=16527; alpha=0.9; alpha_inter=0.8; d_max=28.0; enfriamientos_ejecutados=133; max_reheats_sin_mejora=10; n_reheats=12; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=10; temperatura_inicial_efectiva=22.4; temperatura_minima_efectiva=0.896	relocate_intra:P12234/A3336/M2 | swap_intra:P14719/A4387/M2 | 2opt_intra:P14543/A5620/M1 | relocate_inter:P5405/A424/M0 | swap_inter:P7204/A1250/M1 | 2opt_star:P7232/A757/M0 | cross_exchange:P7219/A616/M0 | or_opt_2:P7221/A133/M0 | or_opt_3:P7348/A4/M0
solo_p_inter	recocido_simulado	gdb10	25	275.0	BKS	2.909090909090909	4		283.0	320.0			27.68289594099042	90000	7	True	0	283.0	L_cadena_markov=625; aceptadas=17713; alpha=0.9; alpha_inter=0.8; d_max=28.0; enfriamientos_ejecutados=144; max_reheats_sin_mejora=10; n_reheats=13; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=10; temperatura_inicial_efectiva=22.4; temperatura_minima_efectiva=0.896	relocate_intra:P13478/A3776/M0 | swap_intra:P15736/A4756/M0 | 2opt_intra:P15962/A5949/M5 | relocate_inter:P5855/A462/M1 | swap_inter:P7785/A1214/M0 | 2opt_star:P7791/A763/M1 | cross_exchange:P7709/A622/M0 | or_opt_2:P7934/A163/M0 | or_opt_3:P7750/A8/M0
solo_p_inter	recocido_simulado	gdb10	25	275.0	BKS	0.0	5		275.0	320.0			10.02701587100455	27500	4	True	0	275.0	L_cadena_markov=625; aceptadas=4930; alpha=0.9; alpha_inter=0.8; d_max=28.0; enfriamientos_ejecutados=44; max_reheats_sin_mejora=10; n_reheats=2; p_inter=0.5; patience=10; reheat_factor=0.5; reheats_sin_mejora_global=1; temperatura_inicial_efectiva=22.4; temperatura_minima_efectiva=0.896	relocate_intra:P4035/A982/M0 | swap_intra:P4945/A1322/M1 | 2opt_intra:P4801/A1610/M1 | relocate_inter:P1778/A143/M0 | swap_inter:P2402/A394/M1 | 2opt_star:P2327/A232/M0 | cross_exchange:P2400/A206/M1 | or_opt_2:P2404/A40/M0 | or_opt_3:P2408/A1/M0
