approach	metaheuristica	instancia	n_tareas	bks_referencia	bks_origen	n_reps	media_gap	std_gap	mejor_gap	peor_gap	mediana_gap	reps_bks_alcanzado	pct_bks_alcanzado	media_tiempo_s	std_tiempo_s	min_tiempo_s	max_tiempo_s	tasa_factible_pct	mejor_costo	media_costo	std_costo	media_iters_totales	media_mejoras	media_n_resets	rango_media_gap_en_approach
binario_capacidad	busqueda_abejas_simple	gdb1	22	316.0	BKS	5	6.1392	3.7350	2.2152	11.3924	4.4304	0	0.0	1.94	0.29	1.58	2.36	100.0	323.0	335.40	11.80	116	2.2	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb10	25	275.0	BKS	5	13.3818	3.3169	8.3636	16.3636	13.4545	0	0.0	1.67	0.62	0.99	2.27	100.0	298.0	311.80	9.12	116	1.2	0.00	2
binario_capacidad	busqueda_abejas_simple	gdb12	23	458.0	BKS	5	25.0218	2.2405	22.0524	27.5109	25.9825	0	0.0	3.45	0.59	2.78	4.31	100.0	559.0	572.60	10.26	193	17.2	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb13	28	536.0	BKS	5	10.0373	2.0111	6.7164	11.5672	10.6343	0	0.0	4.99	0.76	4.23	6.09	100.0	572.0	589.80	10.78	302	28.2	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb14	21	100.0	BKS	5	12.4000	1.3416	11.0000	14.0000	13.0000	0	0.0	1.92	0.19	1.70	2.15	100.0	111.0	112.40	1.34	121	6.6	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb15	21	58.0	BKS	5	4.1379	2.8850	0.0000	6.8966	3.4483	1	20.0	1.20	0.37	0.80	1.80	100.0	58.0	60.40	1.67	85	1.8	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb16	28	127.0	BKS	5	12.2835	2.0533	11.0236	15.7480	11.0236	0	0.0	3.06	0.86	1.53	3.63	100.0	141.0	142.60	2.61	199	12.8	0.00	3
binario_capacidad	busqueda_abejas_simple	gdb17	28	91.0	BKS	5	1.7582	0.9829	0.0000	2.1978	2.1978	1	20.0	1.31	0.14	1.20	1.54	100.0	91.0	92.60	0.89	89	0.2	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb19	11	55.0	BKS	5	1.4545	1.9917	0.0000	3.6364	0.0000	3	60.0	0.89	0.41	0.62	1.61	100.0	55.0	55.80	1.10	68	4.0	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb2	26	339.0	BKS	5	16.1062	3.1812	12.9794	21.2389	15.0442	0	0.0	2.26	0.29	1.92	2.72	100.0	383.0	393.60	10.78	135	5.4	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb20	22	121.0	BKS	5	17.8512	5.6839	9.9174	24.7934	17.3554	0	0.0	1.94	1.09	1.12	3.86	100.0	133.0	142.60	6.88	121	8.4	0.00	2
binario_capacidad	busqueda_abejas_simple	gdb21	33	156.0	BKS	5	20.7692	3.6712	17.3077	26.2821	19.8718	0	0.0	2.13	0.36	1.77	2.52	100.0	183.0	188.40	5.73	205	15.2	0.00	2
binario_capacidad	busqueda_abejas_simple	gdb3	22	275.0	BKS	5	11.2000	2.8447	7.2727	13.8182	11.6364	0	0.0	1.77	0.43	1.37	2.49	100.0	295.0	305.80	7.82	122	3.2	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb4	19	287.0	BKS	5	11.9164	3.6327	8.0139	15.6794	13.9373	0	0.0	1.46	0.23	1.27	1.75	100.0	310.0	321.20	10.43	110	4.4	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb5	26	377.0	BKS	5	14.3236	2.0970	12.4668	16.9761	13.2626	0	0.0	1.93	0.30	1.60	2.38	100.0	424.0	431.00	7.91	123	8.0	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb6	22	298.0	BKS	5	4.5638	2.9216	0.0000	7.7181	5.7047	1	20.0	1.57	0.36	0.98	1.93	100.0	298.0	311.60	8.71	109	2.4	0.00	1
binario_capacidad	busqueda_abejas_simple	gdb7	22	325.0	BKS	5	4.4923	0.6741	4.0000	5.2308	4.0000	0	0.0	1.21	0.25	0.93	1.57	100.0	338.0	339.60	2.19	85	0.8	0.00	1
binario_capacidad	busqueda_abejas_simple	kshs1	15	14661.0	BKS	5	4.5086	2.2088	2.2645	6.9709	4.7064	0	0.0	1.16	0.45	0.72	1.78	100.0	14993.0	15322.00	323.83	97	8.0	0.00	1
binario_capacidad	busqueda_abejas_simple	kshs2	15	9863.0	BKS	5	1.9649	0.7309	0.9125	2.6361	2.0278	0	0.0	1.00	0.25	0.62	1.31	100.0	9953.0	10056.80	72.09	82	10.4	0.00	1
binario_capacidad	busqueda_abejas_simple	kshs3	15	9320.0	BKS	5	4.3734	2.5910	0.0000	6.9528	4.9678	1	20.0	0.89	0.42	0.56	1.61	100.0	9320.0	9727.60	241.48	68	4.6	0.00	1
binario_capacidad	busqueda_abejas_simple	kshs4	15	11498.0	BKS	5	17.2830	3.8050	12.7500	22.3517	16.3246	0	0.0	1.48	0.40	1.01	2.11	100.0	12964.0	13485.20	437.50	122	15.6	0.00	3
binario_capacidad	busqueda_abejas_simple	kshs5	15	10957.0	BKS	5	13.4927	3.9141	10.3861	19.3666	11.7368	0	0.0	1.84	0.38	1.17	2.10	100.0	12095.0	12435.40	428.86	149	14.6	0.00	2
binario_capacidad	busqueda_abejas_simple	kshs6	15	10197.0	BKS	5	5.6762	5.0740	0.0000	11.1405	6.0998	1	20.0	1.14	0.27	0.81	1.52	100.0	10197.0	10775.80	517.39	97	8.2	0.00	1
binario_capacidad	busqueda_tabu_simple	gdb1		316.0	BKS	5	12.3418	0.0000	12.3418	12.3418	12.3418	0	0.0	1.31	0.15	1.13	1.50	100.0	355.0	355.00	0.00	106	1.0	0.00	2
binario_capacidad	busqueda_tabu_simple	gdb10		275.0	BKS	5	14.1818	0.0000	14.1818	14.1818	14.1818	0	0.0	1.21	0.12	1.08	1.39	100.0	314.0	314.00	0.00	110	1.0	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb12		458.0	BKS	5	46.8559	5.0705	40.6114	52.4017	45.1965	0	0.0	1.50	0.18	1.40	1.82	100.0	644.0	672.60	23.22	117	8.0	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb13		536.0	BKS	5	18.6940	2.2404	16.0448	21.2687	19.0299	0	0.0	1.89	0.60	1.46	2.93	100.0	622.0	636.20	12.01	149	17.6	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb14		100.0	BKS	5	21.6000	3.5071	18.0000	27.0000	22.0000	0	0.0	1.15	0.13	1.02	1.36	100.0	118.0	121.60	3.51	104	3.8	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb15		58.0	BKS	5	10.3448	0.0000	10.3448	10.3448	10.3448	0	0.0	1.00	0.14	0.86	1.22	100.0	64.0	64.00	0.00	100	0.0	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb16		127.0	BKS	5	9.7638	2.0533	6.2992	11.0236	11.0236	0	0.0	1.83	0.30	1.45	2.25	100.0	135.0	139.40	2.61	140	10.8	0.00	2
binario_capacidad	busqueda_tabu_simple	gdb17		91.0	BKS	5	2.1978	0.0000	2.1978	2.1978	2.1978	0	0.0	1.22	0.05	1.17	1.28	100.0	93.0	93.00	0.00	100	0.0	0.00	2
binario_capacidad	busqueda_tabu_simple	gdb19		55.0	BKS	5	26.1818	5.9752	18.1818	32.7273	29.0909	0	0.0	0.79	0.11	0.66	0.95	100.0	65.0	69.40	3.29	101	1.2	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb2		339.0	BKS	5	26.9027	0.1319	26.8437	27.1386	26.8437	0	0.0	1.65	0.14	1.51	1.82	100.0	430.0	430.20	0.45	129	0.8	0.00	4
binario_capacidad	busqueda_tabu_simple	gdb20		121.0	BKS	5	17.8512	4.4352	12.3967	22.3140	19.0083	0	0.0	1.31	0.13	1.19	1.46	100.0	136.0	142.60	5.37	117	9.0	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb21		156.0	BKS	5	20.7692	2.9235	16.0256	23.7179	21.1538	0	0.0	1.29	0.17	1.03	1.45	100.0	181.0	188.40	4.56	148	11.2	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb3		275.0	BKS	5	21.4545	0.0000	21.4545	21.4545	21.4545	0	0.0	1.24	0.14	1.10	1.46	100.0	334.0	334.00	0.00	102	1.0	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb4		287.0	BKS	5	23.6934	0.0000	23.6934	23.6934	23.6934	0	0.0	1.00	0.12	0.87	1.14	100.0	355.0	355.00	0.00	108	1.2	0.00	3
binario_capacidad	busqueda_tabu_simple	gdb5		377.0	BKS	5	31.8302	0.0000	31.8302	31.8302	31.8302	0	0.0	1.33	0.05	1.27	1.41	100.0	497.0	497.00	0.00	104	2.0	0.00	4
binario_capacidad	busqueda_tabu_simple	gdb6		298.0	BKS	5	11.7450	0.0000	11.7450	11.7450	11.7450	0	0.0	1.15	0.12	1.00	1.32	100.0	333.0	333.00	0.00	100	0.0	0.00	2
binario_capacidad	busqueda_tabu_simple	gdb7		325.0	BKS	5	6.4615	0.0000	6.4615	6.4615	6.4615	0	0.0	1.13	0.09	1.03	1.23	100.0	346.0	346.00	0.00	100	0.0	0.00	2
binario_capacidad	busqueda_tabu_simple	kshs1		14661.0	BKS	5	11.0565	2.3247	8.7989	14.8489	10.9747	0	0.0	0.99	0.02	0.95	1.02	100.0	15951.0	16282.00	340.82	104	2.8	0.00	3
binario_capacidad	busqueda_tabu_simple	kshs2		9863.0	BKS	5	14.4824	3.4050	11.3454	19.2639	14.0627	0	0.0	0.98	0.08	0.90	1.08	100.0	10982.0	11291.40	335.84	104	4.2	0.00	3
binario_capacidad	busqueda_tabu_simple	kshs3		9320.0	BKS	5	13.2575	8.7646	4.1845	26.8562	10.4721	0	0.0	1.04	0.18	0.85	1.29	100.0	9710.0	10555.60	816.86	110	6.0	0.00	5
binario_capacidad	busqueda_tabu_simple	kshs4		11498.0	BKS	5	25.1122	4.1516	19.9339	29.6747	25.5523	0	0.0	1.31	0.07	1.23	1.39	100.0	13790.0	14385.40	477.36	131	13.8	0.00	5
binario_capacidad	busqueda_tabu_simple	kshs5		10957.0	BKS	5	17.9447	8.2434	7.0001	27.8543	19.8047	0	0.0	0.99	0.14	0.82	1.13	100.0	11724.0	12923.20	903.23	118	10.4	0.00	3
binario_capacidad	busqueda_tabu_simple	kshs6		10197.0	BKS	5	18.6251	7.1542	9.6107	25.5761	21.6730	0	0.0	0.84	0.08	0.74	0.94	100.0	11177.0	12096.20	729.51	106	4.6	0.00	4
binario_capacidad	cuckoo_search	gdb1	22	316.0	BKS	5	13.3544	1.2737	11.0759	13.9241	13.9241	0	0.0	0.33	0.03	0.28	0.36	100.0	351.0	358.20	4.02	66	0.2	0.00	5
binario_capacidad	cuckoo_search	gdb10	25	275.0	BKS	5	14.3273	1.3010	12.7273	16.3636	14.1818	0	0.0	0.37	0.05	0.32	0.42	100.0	310.0	314.40	3.58	75	0.8	0.00	5
binario_capacidad	cuckoo_search	gdb12	23	458.0	BKS	5	50.7424	5.4576	43.4498	58.5153	51.3100	0	0.0	0.42	0.04	0.36	0.46	100.0	657.0	690.40	25.00	69	9.4	0.00	5
binario_capacidad	cuckoo_search	gdb13	28	536.0	BKS	5	21.4925	1.3924	19.9627	23.1343	21.8284	0	0.0	0.56	0.03	0.51	0.60	0.0	643.0	651.20	7.46	84	0.6	0.00	5
binario_capacidad	cuckoo_search	gdb14	21	100.0	BKS	5	25.0000	4.4721	19.0000	31.0000	25.0000	0	0.0	0.36	0.03	0.32	0.39	100.0	119.0	125.00	4.47	63	6.6	0.00	5
binario_capacidad	cuckoo_search	gdb15	21	58.0	BKS	5	8.9655	1.8887	6.8966	10.3448	10.3448	0	0.0	0.31	0.07	0.25	0.42	100.0	62.0	63.20	1.10	63	0.0	0.00	2
binario_capacidad	cuckoo_search	gdb16	28	127.0	BKS	5	17.3228	4.0150	11.0236	22.0472	17.3228	0	0.0	0.53	0.08	0.45	0.61	100.0	141.0	149.00	5.10	84	6.8	0.00	5
binario_capacidad	cuckoo_search	gdb17	28	91.0	BKS	5	2.1978	0.0000	2.1978	2.1978	2.1978	0	0.0	0.54	0.04	0.48	0.57	100.0	93.0	93.00	0.00	84	0.0	0.00	3
binario_capacidad	cuckoo_search	gdb19	11	55.0	BKS	5	24.0000	6.0848	14.5455	29.0909	25.4545	0	0.0	0.23	0.02	0.20	0.25	100.0	63.0	68.20	3.35	50	2.0	0.00	2
binario_capacidad	cuckoo_search	gdb2	26	339.0	BKS	5	27.1386	0.0000	27.1386	27.1386	27.1386	0	0.0	0.42	0.04	0.38	0.49	100.0	431.0	431.00	0.00	78	0.0	0.00	5
binario_capacidad	cuckoo_search	gdb20	22	121.0	BKS	5	22.4793	5.2724	14.8760	28.9256	21.4876	0	0.0	0.33	0.03	0.28	0.37	60.0	139.0	148.20	6.38	66	3.6	0.00	4
binario_capacidad	cuckoo_search	gdb21	33	156.0	BKS	5	28.4615	7.7799	19.2308	39.7436	26.2821	0	0.0	0.53	0.05	0.46	0.58	100.0	186.0	200.40	12.14	99	10.8	0.00	5
binario_capacidad	cuckoo_search	gdb3	22	275.0	BKS	5	21.5273	0.1626	21.4545	21.8182	21.4545	0	0.0	0.38	0.08	0.30	0.50	100.0	334.0	334.20	0.45	66	0.8	0.00	5
binario_capacidad	cuckoo_search	gdb4	19	287.0	BKS	5	24.0418	0.7791	23.6934	25.4355	23.6934	0	0.0	0.26	0.06	0.17	0.32	100.0	355.0	356.00	2.24	57	0.8	0.00	5
binario_capacidad	cuckoo_search	gdb5	26	377.0	BKS	5	31.7772	1.5398	29.4430	33.1565	31.8302	0	0.0	0.45	0.05	0.37	0.50	100.0	488.0	496.80	5.81	78	2.4	0.00	3
binario_capacidad	cuckoo_search	gdb6	22	298.0	BKS	5	11.7450	0.0000	11.7450	11.7450	11.7450	0	0.0	0.35	0.03	0.31	0.40	100.0	333.0	333.00	0.00	66	0.0	0.00	3
binario_capacidad	cuckoo_search	gdb7	22	325.0	BKS	5	6.4615	0.0000	6.4615	6.4615	6.4615	0	0.0	0.34	0.03	0.28	0.37	100.0	346.0	346.00	0.00	66	0.0	0.00	3
binario_capacidad	cuckoo_search	kshs1	15	14661.0	BKS	5	13.9963	5.0486	9.4673	22.5223	12.1001	0	0.0	0.22	0.03	0.17	0.26	100.0	16049.0	16713.00	740.18	50	8.8	0.00	4
binario_capacidad	cuckoo_search	kshs2	15	9863.0	BKS	5	17.1996	1.9945	14.0627	18.9902	17.7532	0	0.0	0.25	0.08	0.18	0.35	100.0	11250.0	11559.40	196.72	50	5.0	0.00	4
binario_capacidad	cuckoo_search	kshs3	15	9320.0	BKS	5	7.1094	6.3170	0.0000	14.4850	4.3026	1	20.0	0.21	0.02	0.18	0.23	100.0	9320.0	9982.60	588.74	50	6.0	0.00	3
binario_capacidad	cuckoo_search	kshs4	15	11498.0	BKS	5	11.0489	2.4405	7.0099	12.5935	12.5935	0	0.0	0.23	0.01	0.23	0.25	0.0	12304.0	12768.40	280.61	50	0.0	0.00	2
binario_capacidad	cuckoo_search	kshs5	15	10957.0	BKS	5	32.2095	9.5972	19.5126	42.5573	32.1530	0	0.0	0.20	0.02	0.17	0.22	60.0	13095.0	14486.20	1051.56	50	5.8	0.00	5
binario_capacidad	cuckoo_search	kshs6	15	10197.0	BKS	5	17.5110	6.0830	10.6698	26.6549	15.7105	0	0.0	0.20	0.02	0.16	0.22	100.0	11285.0	11982.60	620.28	50	6.6	0.00	3
binario_capacidad	recocido_simulado	gdb1	22	316.0	BKS	5	12.3418	0.0000	12.3418	12.3418	12.3418	0	0.0	17.07	0.41	16.46	17.52	100.0	355.0	355.00	0.00	56725	1.0	0.00	3
binario_capacidad	recocido_simulado	gdb10	25	275.0	BKS	5	14.1818	0.0000	14.1818	14.1818	14.1818	0	0.0	23.55	1.04	22.57	25.24	100.0	314.0	314.00	0.00	80125	1.2	0.00	4
binario_capacidad	recocido_simulado	gdb12	23	458.0	BKS	5	49.2140	7.2934	39.9563	58.0786	51.9651	0	0.0	22.16	1.20	20.63	23.84	100.0	641.0	683.40	33.40	60518	11.8	0.00	4
binario_capacidad	recocido_simulado	gdb13	28	536.0	BKS	5	18.7313	2.3024	16.7910	22.3881	17.5373	0	0.0	35.95	4.08	30.41	41.76	100.0	626.0	636.40	12.34	98000	15.8	0.00	4
binario_capacidad	recocido_simulado	gdb14	21	100.0	BKS	5	22.4000	4.9800	16.0000	30.0000	22.0000	0	0.0	15.44	1.23	13.86	17.15	100.0	116.0	122.40	4.98	52655	7.0	0.00	4
binario_capacidad	recocido_simulado	gdb15	21	58.0	BKS	5	10.3448	0.0000	10.3448	10.3448	10.3448	0	0.0	12.96	0.72	12.23	13.87	100.0	64.0	64.00	0.00	48510	0.0	0.00	4
binario_capacidad	recocido_simulado	gdb16	28	127.0	BKS	5	13.3858	2.7276	9.4488	15.7480	14.1732	0	0.0	39.21	2.46	37.31	43.47	100.0	139.0	144.00	3.46	103331	12.4	0.00	4
binario_capacidad	recocido_simulado	gdb17	28	91.0	BKS	5	2.1978	0.0000	2.1978	2.1978	2.1978	0	0.0	32.47	2.68	29.37	35.94	100.0	93.0	93.00	0.00	86240	0.0	0.00	4
binario_capacidad	recocido_simulado	gdb19	11	55.0	BKS	5	36.3636	5.7496	29.0909	43.6364	36.3636	0	0.0	2.82	0.12	2.68	3.01	100.0	71.0	75.00	3.16	13310	1.0	0.00	5
binario_capacidad	recocido_simulado	gdb2	26	339.0	BKS	5	26.8437	0.0000	26.8437	26.8437	26.8437	0	0.0	26.77	2.23	24.79	30.39	100.0	430.0	430.00	0.00	80444	1.0	0.00	3
binario_capacidad	recocido_simulado	gdb20	22	121.0	BKS	5	24.6281	2.4377	22.3140	28.0992	24.7934	0	0.0	12.18	7.24	4.22	18.91	100.0	148.0	150.80	2.95	43463	11.0	0.00	5
binario_capacidad	recocido_simulado	gdb21	33	156.0	BKS	5	25.0000	2.3553	22.4359	26.9231	26.2821	0	0.0	32.53	3.27	28.68	37.17	100.0	191.0	195.00	3.67	138739	15.2	0.00	4
binario_capacidad	recocido_simulado	gdb3	22	275.0	BKS	5	21.4545	0.0000	21.4545	21.4545	21.4545	0	0.0	16.29	1.19	14.72	17.70	100.0	334.0	334.00	0.00	57209	1.0	0.00	4
binario_capacidad	recocido_simulado	gdb4	19	287.0	BKS	5	23.6934	0.0000	23.6934	23.6934	23.6934	0	0.0	11.37	0.71	10.65	12.33	100.0	355.0	355.00	0.00	43176	1.2	0.00	4
binario_capacidad	recocido_simulado	gdb5	26	377.0	BKS	5	31.8302	0.0000	31.8302	31.8302	31.8302	0	0.0	26.26	1.16	24.34	27.01	100.0	497.0	497.00	0.00	79498	2.4	0.00	5
binario_capacidad	recocido_simulado	gdb6	22	298.0	BKS	5	11.7450	0.0000	11.7450	11.7450	11.7450	0	0.0	16.11	0.57	15.11	16.56	100.0	333.0	333.00	0.00	53240	0.0	0.00	4
binario_capacidad	recocido_simulado	gdb7	22	325.0	BKS	5	6.4615	0.0000	6.4615	6.4615	6.4615	0	0.0	15.98	0.38	15.57	16.37	100.0	346.0	346.00	0.00	53240	0.0	0.00	4
binario_capacidad	recocido_simulado	kshs1	15	14661.0	BKS	5	14.2760	3.0913	10.5723	17.7137	13.1642	0	0.0	6.51	0.32	6.16	6.94	100.0	16211.0	16754.00	453.22	25785	6.0	0.00	5
binario_capacidad	recocido_simulado	kshs2	15	9863.0	BKS	5	21.2998	4.1777	16.2729	26.4220	19.6289	0	0.0	6.95	0.67	6.25	8.07	100.0	11468.0	11963.80	412.05	26145	5.6	0.00	5
binario_capacidad	recocido_simulado	kshs3	15	9320.0	BKS	5	13.0300	12.4496	0.0000	33.7339	10.4721	1	20.0	6.17	0.57	5.66	7.12	100.0	9320.0	10534.40	1160.30	25740	5.6	0.00	4
binario_capacidad	recocido_simulado	kshs4	15	11498.0	BKS	5	20.8836	2.8665	18.2467	25.3609	19.7426	0	0.0	6.95	0.48	6.27	7.60	100.0	13596.0	13899.20	329.59	26235	8.4	0.00	4
