tipo_experimento	approach	metaheuristica	n_instancias	n_reps_total	media_gap_global	std_gap_global	mejor_gap_global	peor_gap_global	mediana_gap_global	reps_bks_alcanzado	pct_bks_alcanzado	pct_corridas_gap_lt5	pct_corridas_gap_lt2	pct_corridas_gap_lt1	tasa_factible_global_pct	media_tiempo_s	std_tiempo_s	max_tiempo_s	media_iters_totales	total_mejoras	media_n_resets	instancias_cubiertas
canonico	binario_capacidad	busqueda_abejas_simple	23	115	10.2233	6.9940	0.0000	27.5109	10.3861	8	7.0	30.4	9.6	7.8	100.0	1.83	1.01	6.09	127	917	0.00	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	binario_capacidad	busqueda_tabu_simple	23	115	18.4064	9.8985	2.1978	52.4017	18.0000	0	0.0	5.2	0.0	0.0	100.0	1.22	0.32	2.93	113	552	0.00	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	binario_capacidad	cuckoo_search	23	115	19.5700	11.1119	0.0000	58.5153	18.9902	1	0.9	7.0	0.9	0.9	87.8	0.35	0.12	0.61	66	385	0.00	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	binario_capacidad	recocido_simulado	23	115	20.3573	10.8030	0.0000	58.0786	19.9051	1	0.9	5.2	0.9	0.9	100.0	17.25	10.76	43.47	56687	639	0.00	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	binario_capacidad	tabu_reactiva	23	115	14.4523	9.5853	0.0000	41.9214	12.0000	2	1.7	14.8	2.6	1.7	100.0	4.68	2.97	12.70	362	722	0.00	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	pr_aislado	busqueda_abejas_simple	23	230	4.3812	4.3382	0.0000	23.1441	3.4396	52	22.6	63.5	36.5	26.1	100.0	15.65	9.81	54.63	425	2617	11.35	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	pr_aislado	busqueda_tabu_simple	23	230	10.2381	10.1201	0.0000	44.3231	7.2314	47	20.4	40.4	26.5	22.2	100.0	4.67	1.02	7.93	400	1720	11.82	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	pr_aislado	cuckoo_search	23	230	15.3750	9.2163	0.0000	49.3450	14.1818	8	3.5	12.6	4.3	4.3	99.6	3.00	1.61	11.32	425	889	13.83	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	pr_aislado	recocido_simulado	23	230	11.9618	11.9690	0.0000	55.8952	8.0786	38	16.5	41.3	24.8	20.0	100.0	14.21	11.84	68.53	45963	2255	0.00	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
canonico	pr_aislado	tabu_reactiva	23	230	8.0381	7.7712	0.0000	36.6812	5.6932	38	16.5	48.3	25.2	20.0	100.0	6.26	4.12	18.89	425	1992	7.79	gdb1 gdb10 gdb12 gdb13 gdb14 gdb15 gdb16 gdb17 gdb19 gdb2 gdb20 gdb21 gdb3 gdb4 gdb5 gdb6 gdb7 kshs1 kshs2 kshs3 kshs4 kshs5 kshs6
