metaheuristica,instancia,familia,tier,bks,costo_antes,gap_antes_%,costo_nuevo_probado,costo_despues,gap_despues_%,mejoro,cruzo_a_<=1%
SA,gdb5,gdb,A(1-3%),377.0,381.0,1.061,383.0,381.0,1.061,False,False
SA,val1B,val,A(1-3%),247.0,252.0,2.024,256.0,252.0,2.024,False,False
SA,val1C,val,B(3-10%),319.0,343.0,7.524,351.0,343.0,7.524,False,False
SA,val2C,val,B(3-10%),528.0,554.0,4.924,552.0,552.0,4.545,True,False
SA,val3B,val,A(1-3%),111.0,113.0,1.802,113.0,113.0,1.802,False,False
SA,val3C,val,B(3-10%),162.0,172.0,6.173,167.0,167.0,3.086,True,False
SA,val4C,val,A(1-3%),550.0,560.0,1.818,566.0,560.0,1.818,False,False
SA,val4D,val,B(3-10%),650.0,674.0,3.692,676.0,674.0,3.692,False,False
SA,val5D,val,B(3-10%),718.0,749.0,4.318,750.0,749.0,4.318,False,False
SA,val6B,val,A(1-3%),340.0,346.0,1.765,340.0,340.0,0.0,True,True
SA,val6C,val,A(1-3%),424.0,434.0,2.358,434.0,434.0,2.358,False,False
SA,val7A,val,A(1-3%),382.0,386.0,1.047,382.0,382.0,0.0,True,True
SA,val7C,val,A(1-3%),437.0,448.0,2.517,461.0,448.0,2.517,False,False
SA,val8B,val,A(1-3%),531.0,537.0,1.13,539.0,537.0,1.13,False,False
SA,val8C,val,B(3-10%),657.0,691.0,5.175,695.0,691.0,5.175,False,False
SA,val9D,val,B(3-10%),515.0,538.0,4.466,534.0,534.0,3.689,True,False
SA,val10D,val,A(1-3%),734.0,755.0,2.861,749.0,749.0,2.044,True,False
SA,gdb8,gdb,A(1-3%),348.0,354.0,1.724,356.0,354.0,1.724,False,False
SA,gdb9,gdb,B(3-10%),303.0,317.0,4.62,311.0,311.0,2.64,True,False
SA,egl-e1-B,egl,A(1-3%),4498.0,4569.0,1.578,4543.0,4543.0,1.0,True,False
SA,egl-e1-C,egl,A(1-3%),5595.0,5745.0,2.681,5663.0,5663.0,1.215,True,False
SA,egl-e2-A,egl,A(1-3%),5018.0,5070.0,1.036,5160.0,5070.0,1.036,False,False
SA,egl-e2-B,egl,A(1-3%),6317.0,6485.0,2.659,6440.0,6440.0,1.947,True,False
SA,egl-e2-C,egl,B(3-10%),8335.0,8662.0,3.923,8480.0,8480.0,1.74,True,False
SA,egl-e3-A,egl,B(3-10%),5898.0,6099.0,3.408,6024.0,6024.0,2.136,True,False
SA,egl-e3-B,egl,B(3-10%),7744.0,8344.0,7.748,7987.0,7987.0,3.138,True,False
SA,egl-e3-C,egl,B(3-10%),10244.0,10839.0,5.808,10530.0,10530.0,2.792,True,False
SA,egl-e4-A,egl,B(3-10%),6408.0,6830.0,6.586,6641.0,6641.0,3.636,True,False
SA,egl-e4-B,egl,B(3-10%),8935.0,9764.0,9.278,9351.0,9351.0,4.656,True,False
SA,egl-e4-C,egl,C(10-25%),11512.0,12952.0,12.509,12585.0,12585.0,9.321,True,False
SA,egl-s1-A,egl,C(10-25%),5018.0,5919.0,17.955,5170.0,5170.0,3.029,True,False
SA,egl-s1-B,egl,C(10-25%),6388.0,7153.0,11.976,6586.0,6586.0,3.1,True,False
SA,egl-s1-C,egl,C(10-25%),8518.0,9534.0,11.928,8576.0,8576.0,0.681,True,True
SA,egl-s2-A,egl,D(>25%),9825.0,14093.0,43.44,10616.0,10616.0,8.051,True,False
SA,egl-s2-B,egl,D(>25%),13017.0,17809.0,36.813,14496.0,14496.0,11.362,True,False
SA,egl-s2-C,egl,D(>25%),16425.0,21219.0,29.187,17806.0,17806.0,8.408,True,False
SA,egl-s3-A,egl,D(>25%),10165.0,15302.0,50.536,11139.0,11139.0,9.582,True,False
SA,egl-s3-B,egl,D(>25%),13648.0,19125.0,40.13,14630.0,14630.0,7.195,True,False
SA,egl-s3-C,egl,D(>25%),17188.0,22176.0,29.02,18733.0,18733.0,8.989,True,False
SA,egl-s4-A,egl,D(>25%),12153.0,19215.0,58.109,13529.0,13529.0,11.322,True,False
SA,egl-s4-B,egl,D(>25%),16113.0,23504.0,45.87,18085.0,18085.0,12.239,True,False
SA,egl-s4-C,egl,D(>25%),20430.0,27901.0,36.569,24652.0,24652.0,20.666,True,False
TS,kshs4,kshs,B(3-10%),11498.0,11888.0,3.392,11498.0,11498.0,0.0,True,True
TS,gdb20,gdb,A(1-3%),121.0,124.0,2.479,121.0,121.0,0.0,True,True
TS,gdb3,gdb,A(1-3%),275.0,279.0,1.455,275.0,275.0,0.0,True,True
TS,gdb7,gdb,A(1-3%),325.0,329.0,1.231,325.0,325.0,0.0,True,True
TS,gdb10,gdb,B(3-10%),275.0,285.0,3.636,275.0,275.0,0.0,True,True
