metaheuristica,instancia,familia,gap_%,bks,costo_actual,tier
SA,gdb5,gdb,1.061,377,381,A(1-3%)
SA,val1B,val,2.024,247,252,A(1-3%)
SA,val1C,val,7.524,319,343,B(3-10%)
SA,val2C,val,4.924,528,554,B(3-10%)
SA,val3B,val,1.802,111,113,A(1-3%)
SA,val3C,val,6.173,162,172,B(3-10%)
SA,val4C,val,1.818,550,560,A(1-3%)
SA,val4D,val,3.692,650,674,B(3-10%)
SA,val5D,val,4.318,718,749,B(3-10%)
SA,val6B,val,1.765,340,346,A(1-3%)
SA,val6C,val,2.358,424,434,A(1-3%)
SA,val7A,val,1.047,382,386,A(1-3%)
SA,val7C,val,2.517,437,448,A(1-3%)
SA,val8B,val,1.13,531,537,A(1-3%)
SA,val8C,val,5.175,657,691,B(3-10%)
SA,val9D,val,4.466,515,538,B(3-10%)
SA,val10D,val,2.861,734,755,A(1-3%)
SA,gdb8,gdb,1.724,348,354,A(1-3%)
SA,gdb9,gdb,4.62,303,317,B(3-10%)
SA,egl-e1-B,egl,1.578,4498,4569,A(1-3%)
SA,egl-e1-C,egl,2.681,5595,5745,A(1-3%)
SA,egl-e2-A,egl,1.036,5018,5070,A(1-3%)
SA,egl-e2-B,egl,2.659,6317,6485,A(1-3%)
SA,egl-e2-C,egl,3.923,8335,8662,B(3-10%)
SA,egl-e3-A,egl,3.408,5898,6099,B(3-10%)
SA,egl-e3-B,egl,7.748,7744,8344,B(3-10%)
SA,egl-e3-C,egl,5.808,10244,10839,B(3-10%)
SA,egl-e4-A,egl,6.586,6408,6830,B(3-10%)
SA,egl-e4-B,egl,9.278,8935,9764,B(3-10%)
SA,egl-e4-C,egl,12.509,11512,12952,C(10-25%)
SA,egl-s1-A,egl,17.955,5018,5919,C(10-25%)
SA,egl-s1-B,egl,11.976,6388,7153,C(10-25%)
SA,egl-s1-C,egl,11.928,8518,9534,C(10-25%)
SA,egl-s2-A,egl,43.44,9825,14093,D(>25%)
SA,egl-s2-B,egl,36.813,13017,17809,D(>25%)
SA,egl-s2-C,egl,29.187,16425,21219,D(>25%)
SA,egl-s3-A,egl,50.536,10165,15302,D(>25%)
SA,egl-s3-B,egl,40.13,13648,19125,D(>25%)
SA,egl-s3-C,egl,29.02,17188,22176,D(>25%)
SA,egl-s4-A,egl,58.109,12153,19215,D(>25%)
SA,egl-s4-B,egl,45.87,16113,23504,D(>25%)
SA,egl-s4-C,egl,36.569,20430,27901,D(>25%)
TS,kshs4,kshs,3.392,11498,11888,B(3-10%)
TS,gdb20,gdb,2.479,121,124,A(1-3%)
TS,gdb3,gdb,1.455,275,279,A(1-3%)
TS,gdb7,gdb,1.231,325,329,A(1-3%)
TS,gdb10,gdb,3.636,275,285,B(3-10%)
TS,gdb2,gdb,2.36,339,347,A(1-3%)
TS,gdb5,gdb,1.592,377,383,A(1-3%)
TS,gdb13,gdb,7.463,536,576,B(3-10%)
TS,gdb16,gdb,3.15,127,131,B(3-10%)
TS,gdb21,gdb,4.487,156,163,B(3-10%)
TS,val1B,val,12.955,247,279,C(10-25%)
TS,val1C,val,9.091,319,348,B(3-10%)
TS,val2C,val,3.788,528,548,B(3-10%)
TS,val3C,val,2.469,162,166,A(1-3%)
TS,val4A,val,7.854,522,563,B(3-10%)
TS,val4B,val,8.614,534,580,B(3-10%)
TS,val4C,val,16.545,550,641,C(10-25%)
TS,val4D,val,10.308,650,717,C(10-25%)
TS,val5A,val,5.83,566,599,B(3-10%)
TS,val5B,val,7.81,589,635,B(3-10%)
TS,val5C,val,8.428,617,669,B(3-10%)
TS,val5D,val,11.003,718,797,C(10-25%)
TS,val6B,val,2.353,340,348,A(1-3%)
TS,val6C,val,2.83,424,436,A(1-3%)
TS,val7A,val,11.78,382,427,C(10-25%)
TS,val7B,val,8.549,386,419,B(3-10%)
TS,val7C,val,16.934,437,511,C(10-25%)
TS,val8A,val,4.406,522,545,B(3-10%)
TS,val8B,val,6.026,531,563,B(3-10%)
TS,val8C,val,17.808,657,774,C(10-25%)
TS,val9A,val,7.778,450,485,B(3-10%)
TS,val9B,val,10.375,453,500,C(10-25%)
TS,val9C,val,11.765,459,513,C(10-25%)
TS,val9D,val,13.398,515,584,C(10-25%)
TS,val10A,val,4.867,637,668,B(3-10%)
TS,val10B,val,7.597,645,694,B(3-10%)
TS,val10C,val,8.244,655,709,B(3-10%)
TS,val10D,val,12.534,734,826,C(10-25%)
TS,gdb8,gdb,1.724,348,354,A(1-3%)
TS,gdb9,gdb,5.941,303,321,B(3-10%)
TS,gdb11,gdb,1.013,395,399,A(1-3%)
TS,gdb23,gdb,4.292,233,243,B(3-10%)
TS,egl-e1-A,egl,7.187,3548,3803,B(3-10%)
TS,egl-e1-B,egl,3.891,4498,4673,B(3-10%)
TS,egl-e1-C,egl,4.629,5595,5854,B(3-10%)
TS,egl-e2-A,egl,17.158,5018,5879,C(10-25%)
TS,egl-e2-B,egl,13.472,6317,7168,C(10-25%)
TS,egl-e2-C,egl,12.993,8335,9418,C(10-25%)
TS,egl-e3-A,egl,26.874,5898,7483,D(>25%)
TS,egl-e3-B,egl,17.045,7744,9064,C(10-25%)
TS,egl-e3-C,egl,8.385,10244,11103,B(3-10%)
TS,egl-e4-A,egl,24.407,6408,7972,C(10-25%)
TS,egl-e4-B,egl,21.063,8935,10817,C(10-25%)
TS,egl-e4-C,egl,37.396,11512,15817,D(>25%)
TS,egl-s1-A,egl,24.014,5018,6223,C(10-25%)
TS,egl-s1-B,egl,13.212,6388,7232,C(10-25%)
TS,egl-s1-C,egl,17.997,8518,10051,C(10-25%)
TS,egl-s2-A,egl,24.285,9825,12211,C(10-25%)
TS,egl-s2-B,egl,50.388,13017,19576,D(>25%)
TS,egl-s2-C,egl,23.896,16425,20350,C(10-25%)
